t_s,n,c1,c2,c3,c4,c5,c6,rho
1.850000e0,1.097813e1,2.100362e3,5.143112e3,1.618639e3,1.928732e3,3.298296e2,4.015123e1,5.200000e-3
1.860000e0,1.110705e1,2.102829e3,5.156830e3,1.630330e3,1.952104e3,3.352261e2,4.079912e1,5.200000e-3
1.870000e0,1.123722e1,2.105327e3,5.170723e3,1.642166e3,1.975749e3,3.406687e2,4.144936e1,5.200000e-3
1.880000e0,1.136865e1,2.107858e3,5.184792e3,1.654149e3,1.999667e3,3.461578e2,4.210209e1,5.200000e-3
1.890000e0,1.150136e1,2.110421e3,5.199040e3,1.666279e3,2.023863e3,3.516939e2,4.275746e1,5.200000e-3
1.900000e0,1.163535e1,2.113016e3,5.213469e3,1.678559e3,2.048338e3,3.572776e2,4.341560e1,5.200000e-3
1.910000e0,1.177065e1,2.115645e3,5.228079e3,1.690990e3,2.073096e3,3.629094e2,4.407663e1,5.200000e-3
1.920000e0,1.190726e1,2.118307e3,5.242873e3,1.703573e3,2.098138e3,3.685898e2,4.474070e1,5.200000e-3
1.930000e0,1.204522e1,2.121002e3,5.257852e3,1.716310e3,2.123467e3,3.743194e2,4.540794e1,5.200000e-3
1.940000e0,1.218452e1,2.123731e3,5.273019e3,1.729202e3,2.149086e3,3.800988e2,4.607847e1,5.200000e-3
1.950000e0,1.232520e1,2.126494e3,5.288375e3,1.742251e3,2.174999e3,3.859284e2,4.675243e1,5.200000e-3
1.960000e0,1.246725e1,2.129292e3,5.303923e3,1.755457e3,2.201206e3,3.918089e2,4.742993e1,5.200000e-3
1.970000e0,1.261071e1,2.132125e3,5.319663e3,1.768824e3,2.227713e3,3.977409e2,4.811112e1,5.200000e-3
1.980000e0,1.275558e1,2.134993e3,5.335597e3,1.782352e3,2.254520e3,4.037248e2,4.879611e1,5.200000e-3
1.990000e0,1.290188e1,2.137897e3,5.351729e3,1.796042e3,2.281631e3,4.097614e2,4.948502e1,5.200000e-3
2.000000e0,1.304963e1,2.140837e3,5.368059e3,1.809897e3,2.309049e3,4.158512e2,5.017799e1,5.200000e-3
2.010000e0,1.319885e1,2.143813e3,5.384589e3,1.823918e3,2.336777e3,4.219948e2,5.087512e1,5.200000e-3
2.020000e0,1.334955e1,2.146826e3,5.401322e3,1.838107e3,2.364818e3,4.281928e2,5.157656e1,5.200000e-3
2.030000e0,1.350175e1,2.149875e3,5.418260e3,1.852464e3,2.393174e3,4.344459e2,5.228240e1,5.200000e-3
2.040000e0,1.365546e1,2.152962e3,5.435404e3,1.866993e3,2.421850e3,4.407546e2,5.299279e1,5.200000e-3
2.050000e0,1.381071e1,2.156087e3,5.452757e3,1.881694e3,2.450847e3,4.471196e2,5.370782e1,5.200000e-3
2.060000e0,1.396751e1,2.159250e3,5.470321e3,1.896570e3,2.480169e3,4.535415e2,5.442763e1,5.200000e-3
2.070000e0,1.412588e1,2.162452e3,5.488097e3,1.911621e3,2.509820e3,4.600210e2,5.515234e1,5.200000e-3
2.080000e0,1.428583e1,2.165692e3,5.506088e3,1.926850e3,2.539801e3,4.665587e2,5.588205e1,5.200000e-3
2.090000e0,1.444738e1,2.168972e3,5.524296e3,1.942259e3,2.570117e3,4.731553e2,5.661689e1,5.200000e-3
2.100000e0,1.461056e1,2.172292e3,5.542724e3,1.957848e3,2.600771e3,4.798114e2,5.735697e1,5.200000e-3
2.110000e0,1.477538e1,2.175651e3,5.561373e3,1.973621e3,2.631766e3,4.865278e2,5.810241e1,5.200000e-3
2.120000e0,1.494185e1,2.179051e3,5.580245e3,1.989578e3,2.663106e3,4.933050e2,5.885332e1,5.200000e-3
2.130000e0,1.511001e1,2.182492e3,5.599343e3,2.005723e3,2.694793e3,5.001439e2,5.960982e1,5.200000e-3
